Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2022-07-21,50,50,50,50,4000,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-07-22,50,50,50,50,2600,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-07-25,50,51,50,50,4283800,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-07-26,50,50,50,50,21000,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-07-27,50,50,50,50,716600,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-07-28,50,50,50,50,106000,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-07-29,50,50,50,50,5000,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-01,50,50,50,50,2631500,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-02,50,50,50,50,5400,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-03,50,50,50,50,9100,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-04,50,50,50,50,9500,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-05,50,50,50,50,81800,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-08,50,50,50,50,2700,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-09,50,50,50,50,6600,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-10,50,50,50,50,229800,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-11,50,50,50,50,11100,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-12,50,50,50,50,69100,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-15,50,50,50,50,54600,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-16,50,50,50,50,107700,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-18,50,50,50,50,417000,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-19,50,53,50,50,5349800,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-22,50,51,50,50,3660400,51.0,52.0,54.0,55.0,49.0,48.0,46.0
2022-08-23,50,51,50,50,1431800,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-08-24,50,50,50,50,137200,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-08-25,50,50,50,50,24300,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-26,50,50,50,50,311200,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-29,50,51,50,50,1260600,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-08-30,50,50,50,50,246000,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-08-31,50,50,50,50,1197800,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-09-01,50,51,50,51,1758500,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2022-09-02,51,51,50,50,1884400,50.666666666666664,51.33333333333333,51.666666666666664,52.33333333333333,50.33333333333333,49.666666666666664,49.33333333333333
2022-09-05,51,51,50,50,1025500,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-06,50,51,50,50,1051600,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-07,50,51,50,50,1157600,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-08,50,51,50,50,635800,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-09,51,51,50,50,720500,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-12,50,51,50,50,1740700,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
2022-09-13,51,51,50,50,849700,50.333333333333336,50.66666666666667,51.333333333333336,51.66666666666667,49.66666666666667,49.333333333333336,48.66666666666667
